city,pop2013,pop2018,percent5yrs,,Average
"The Villages, FL Metro Area",107056,128754,20.26789718,,2.615477164
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",404951,480891,18.75288615,,
"Bozeman, MT Micro Area",94720,111876,18.11233108,,
"Greeley, CO Metro Area",269785,314305,16.50202939,,
"St. George, UT Metro Area",147800,171700,16.17050068,,
"Bend-Redmond, OR Metro Area",165954,191996,15.69230028,,
"Austin-Round Rock, TX Metro Area",1883051,2168316,15.14908518,,
"Cape Coral-Fort Myers, FL Metro Area",661115,754610,14.14201765,,
"Midland, TX Metro Area",155723,177218,13.80335596,,
"Lakeland-Winter Haven, FL Metro Area",623009,708009,13.64346261,,
"Orlando-Kissimmee-Sanford, FL Metro Area",2267846,2572962,13.45399996,,
"Boise City, ID Metro Area",649321,732257,12.7727272,,
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",491755,553795,12.61603847,,
"Provo-Orem, UT Metro Area",562338,632705,12.51329272,,
"Punta Gorda, FL Metro Area",164736,184998,12.29967949,,
"Raleigh, NC Metro Area",1214516,1362540,12.18790037,,
"North Port-Sarasota-Bradenton, FL Metro Area",732535,821573,12.15477759,,
"Coeur d'Alene, ID Metro Area",144265,161505,11.95023048,,
"Winchester, VA-WV Metro Area",126900,141848,11.77935382,,
"Daphne-Fairhope-Foley, AL Metro Area",195540,218022,11.49739184,,
"Naples-Immokalee-Marco Island, FL Metro Area",339642,378488,11.43733696,,
"Fort Collins, CO Metro Area",315988,350518,10.92763016,,
"College Station-Bryan, TX Metro Area",238939,265024,10.91701229,,
"Sebastian-Vero Beach, FL Metro Area",141994,157413,10.85890953,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",6313158,6997384,10.83809403,,
"Dallas-Fort Worth-Arlington, TX Metro Area",6812373,7540371,10.68640839,,
"Charleston-North Charleston, SC Metro Area",712220,787643,10.58984583,,
"San Antonio-New Braunfels, TX Metro Area",2277516,2518036,10.56062833,,
"Phoenix-Mesa-Scottsdale, AZ Metro Area",4398762,4857962,10.43930088,,
"Las Vegas-Henderson-Paradise, NV Metro Area",2027868,2231647,10.04892823,,
"Jacksonville, FL Metro Area",1394624,1534701,10.04406923,,
"Port St. Lucie, FL Metro Area",438095,482040,10.03092936,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2335358,2569213,10.01366814,,
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1757424,1932099,9.939263376,,
"Crestview-Fort Walton Beach-Destin, FL Metro Area",253618,278644,9.867596149,,
"Fargo, ND-MN Metro Area",223490,245471,9.835339389,,
